Kite by Zerodha
Tradebook for the period 01-01-2026 to 31-03-2026
Client ID: AB1234
Client Name: SAMPLE TRADER

trade_date,tradingsymbol,exchange,segment,trade_type,quantity,price,order_id,isin
2026-01-05,RELIANCE,NSE,EQ,buy,10,2450.50,ORD001,INE002A01018
2026-01-08,TCS,NSE,EQ,buy,5,3850.75,ORD002,INE467B01029
2026-01-12,INFY,NSE,EQ,buy,15,1620.25,ORD003,INE009A01021
2026-01-20,RELIANCE,NSE,EQ,sell,5,2510.00,ORD004,INE002A01018
2026-02-03,HDFCBANK,NSE,EQ,buy,8,1680.00,ORD005,INE040A01034
2026-02-15,TCS,NSE,EQ,sell,5,3920.50,ORD006,INE467B01029
2026-02-22,INFY,NSE,EQ,sell,10,1580.00,ORD007,INE009A01021
2026-03-01,WIPRO,NSE,EQ,buy,20,520.50,ORD008,INE075A01022
2026-03-10,RELIANCE,NSE,EQ,sell,5,2580.00,ORD009,INE002A01018
2026-03-25,HDFCBANK,NSE,EQ,sell,8,1720.00,ORD010,INE040A01034
